timestamp,error_x,error_y,pan_angle,tilt_angle,delta_pan,delta_tilt
1770649216.7106078,0,0,98.78,82.01,0,0
1770649216.9597023,0,0,98.78,82.01,0,0
1770649217.2101796,0,0,98.78,82.01,0,0
1770649217.460619,0,0,98.78,82.01,0,0
1770649217.7113008,0,0,98.78,82.01,0,0
1770649217.960194,0,0,98.78,82.01,0,0
1770649218.2105174,0,0,98.78,82.01,0,0
1770649218.4603674,0,0,98.78,82.01,0,0
1770649218.7114289,0,0,98.78,82.01,0,0
1770649218.9600956,0,0,98.78,82.01,0,0
1770649219.2108042,0,0,98.78,82.01,0,0
1770649219.4613192,0,0,98.78,82.01,0,0
1770649219.7116082,0,0,98.78,82.01,0,0
1770649219.960449,0,0,98.78,82.01,0,0
1770649220.2109237,0,0,98.78,82.01,0,0
1770649220.462035,0,0,98.78,82.01,0,0
1770649220.7112553,0,0,98.78,82.01,0,0
1770649220.9608288,0,0,98.78,82.01,0,0
1770649221.2109962,0,0,98.78,82.01,0,0
1770649221.4623559,0,0,98.78,82.01,0,0
1770649221.7115521,0,0,98.78,82.01,0,0
1770649221.9615335,0,0,98.78,82.01,0,0
1770649222.2111907,0,0,98.78,82.01,0,0
1770649222.4632428,0,0,98.78,82.01,0,0
1770649222.7113845,0,0,98.78,82.01,0,0
1770649222.9617262,0,0,98.78,82.01,0,0
1770649223.2111814,0,0,98.78,82.01,0,0
1770649223.4630964,0,0,98.78,82.01,0,0
1770649223.7117064,0,0,98.78,82.01,0,0
1770649223.9618638,0,0,98.78,82.01,0,0
1770649224.2116418,0,0,98.78,82.01,0,0
1770649224.4635222,0,0,98.78,82.01,0,0
1770649224.7122486,0,0,98.78,82.01,0,0
1770649224.9621863,0,0,98.78,82.01,0,0
1770649225.211911,0,0,98.78,82.01,0,0
1770649225.4635203,0,0,98.78,82.01,0,0
1770649225.7123814,0,0,98.78,82.01,0,0
1770649225.9628527,0,0,98.78,82.01,0,0
1770649226.2123132,0,0,98.78,82.01,0,0
1770649226.4641387,0,0,98.78,82.01,0,0
1770649226.7123857,0,0,98.78,82.01,0,0
1770649226.9634552,0,0,98.78,82.01,0,0
1770649227.212568,0,0,98.78,82.01,0,0
1770649227.4642487,0,0,98.78,82.01,0,0
1770649227.7127595,0,0,98.78,82.01,0,0
1770649227.9636354,0,0,98.78,82.01,0,0
1770649228.2128024,0,0,98.78,82.01,0,0
1770649228.4652572,0,0,98.78,82.01,0,0
1770649228.713094,0,0,98.78,82.01,0,0
1770649228.964034,0,0,98.78,82.01,0,0
1770649229.213131,0,0,98.78,82.01,0,0
1770649229.4655766,0,0,98.78,82.01,0,0
1770649229.7132928,0,0,98.78,82.01,0,0
1770649229.9644232,0,0,98.78,82.01,0,0
1770649230.2135248,0,0,98.78,82.01,0,0
1770649230.4658217,0,0,98.78,82.01,0,0
1770649230.7135918,0,0,98.78,82.01,0,0
1770649230.9644713,0,0,98.78,82.01,0,0
1770649231.2138042,0,0,98.78,82.01,0,0
1770649231.466281,0,0,98.78,82.01,0,0
1770649231.714,0,0,98.78,82.01,0,0
1770649231.9648867,0,0,98.78,82.01,0,0
1770649232.2139833,0,0,98.78,82.01,0,0
1770649232.466062,0,0,98.78,82.01,0,0
1770649232.714398,0,0,98.78,82.01,0,0
1770649232.9652638,0,0,98.78,82.01,0,0
1770649233.214095,0,0,98.78,82.01,0,0
1770649233.4666674,0,0,98.78,82.01,0,0
1770649233.7145438,0,0,98.78,82.01,0,0
1770649233.9654448,0,0,98.78,82.01,0,0
1770649234.2147212,0,0,98.78,82.01,0,0
1770649234.4673526,0,0,98.78,82.01,0,0
1770649234.7149327,0,0,98.78,82.01,0,0
1770649234.9655945,0,0,98.78,82.01,0,0
1770649235.215049,0,0,98.78,82.01,0,0
1770649235.4675732,0,0,98.78,82.01,0,0
1770649235.7155104,0,0,98.78,82.01,0,0
1770649235.9658487,0,0,98.78,82.01,0,0
1770649236.2158568,0,0,98.78,82.01,0,0
1770649236.4673746,-26,0,99.62,82.01,0.8414,0.0
1770649236.7157602,-26,0,100.4,82.01,0.78,0.0
1770649236.966257,0,0,100.4,82.01,0,0
1770649237.215651,0,0,100.4,82.01,0,0
1770649237.467785,0,0,100.4,82.01,0,0
1770649237.7158704,0,0,100.4,82.01,0,0
1770649237.9660301,0,0,100.4,82.01,0,0
1770649238.216303,0,0,100.4,82.01,0,0
1770649238.467169,0,0,100.4,82.01,0,0
1770649238.716437,0,0,100.4,82.01,0,0
1770649238.9660668,0,0,100.4,82.01,0,0
1770649239.2167418,0,0,100.4,82.01,0,0
1770649239.4674022,0,0,100.4,82.01,0,0
1770649239.717313,0,0,100.4,82.01,0,0
1770649239.966323,0,0,100.4,82.01,0,0
1770649240.2178624,0,0,100.4,82.01,0,0
1770649240.4674397,0,0,100.4,82.01,0,0
1770649240.7172985,0,0,100.4,82.01,0,0
1770649240.9666233,0,0,100.4,82.01,0,0
1770649241.2178078,0,0,100.4,82.01,0,0
1770649241.4677114,0,0,100.4,82.01,0,0
